start	end	text
347440	355920	и она поет армянскую песню, всё очень красиво, все нам похлопали, а потом они попросили папу с мамой спеть какую-нибудь ЧУВАЖскую песню,
356080	367200	я понял, какая у них была растерянность, они такие, они долго соображали, что мы спеем, в итоге они там предокуплятим одну песню,
367200	380400	и мне как-то странно было, с другой стороны, было немножко даже как-то неловко за них, потому что я понял, что они очень дико стесняются,
380880	390880	и я думаю, что это, скорее всего, то, что вы читали, скорее всего, это вот об этом проречит.
390880	401040	Поняла, а у меня ещё такой вопрос возник, я вот со всем героями обсуждала эту тему насчёт того, что во многом, когда ты подросток,
401680	412560	ещё в советское время пошло то, что ехать в город, ехать в столицу, в деревне это скучно, неинтересно,
412560	420000	не было у вас вот этого диссонанса, то, что вы приезжаете в Чувашскую деревню, и вы, наоборот, оторгали от себя этот мир,
420000	423280	или, наоборот, вам было очень интересно в него погружаться?
424000	434000	Нет, нет, у меня такого не было, во-первых, наверное, это в связи с тем, что я жил всё время в маленьких закрытых военных городках,
434000	442720	вот, и в этих маленьких закрытых военных городках у нас там были абсолютно все национальности в советское время,
442720	449520	то есть вопрос социального вопроса, да нет, в принципе, не существовало,
449760	455760	да, у нас там начались и узбеки, и азербайджанцы, и марийцы, и русские, и украинцы, и все кто угодно, да,
455760	466480	то есть мы просто дружили, мы просто играли, общались там, футболку, пались, бегали, и так далее, да, вот, поэтому я этого не ощущал в принципе.
466480	476560	А когда у вас начался интерес к Чувашской культуре, как к тому, почему вы причастны, в связи с тем, что вы же переезжали очень много раз,
476640	484640	получается, у вас был, конечно, связь с родителями, которые говорят на Чувашском, но такое, чтобы интересоваться именно культурой всей?
490640	499840	Ну, я не знаю, как она ответит на этот вопрос, я обычно отвечаю, что кимпатоник, это что-то у меня в крови, с этим ничего не поделать,
500080	509120	и когда ты просто слышишь какую-нибудь, элементарно даже если я слышу гримитатарские песни, я прям на это реагировал вот мгновенно,
509120	523120	потому что логика песен очень схожая, вот, и, ну, то есть это как-то происходило на каком-то клеточном генетическом уровне, я там очень живо реагировал,
523120	534400	наверное, вспоминается очень такой яркий эпизод из детства, может это был год 82, может 83, ну, что-то вот такое, там мне лет 7-8,
536400	546400	по первой программе была такая передача, что-то песня, песня года, да, там, песня 82, песня 83, что-то такое, выступал какой-то,
546400	555680	не какой-то, вот тогда вот на всесоюзную сцену вышел Чувашский локальный инструментальный ансамбль «Ильяма»,
555680	565680	вот, и они пели там какую-то песню, Чувашский музыкант, по послову Сибири, на это все обсуждали, очень дурно реагировали там между собой,
565680	580960	был рядом, это все слушал, да, я нашел потом эту песню, это была не самая красивая, не самая удачная песня, вот, и я не помню точно,
580960	592960	но, в общем, как-то вот я на это реагировал таким образом, что, то есть это с одной стороны стало таким событием, да, что вот представители народа,
592960	611040	которому я принадлежу, вот, примерить на такой сцене, опять же, это было как-то, на мой взгляд, не очень, не очень, короче говоря, вот, и потом уже,
611120	621120	когда я уже приехал из Бакса, я стал бы следить, да, внимательно следить за тем, что происходит в национальной культуре, ну, в первую очередь музыкальной, да,
621120	633120	я обнаружил это регулярно, да, что, на мой взгляд, я говорю только исключительно про свой взгляд, мне всегда казалось, что это все подстороннее, не очень, вот,
633200	651200	лет 30 я, значит, там наблюдал, общался с всеми профессиональными музыкантами, что-то я им там предлагал, говорю, а попробуйте вот так, попробуйте так, но в итоге ничего не менялось, и я вот в 2019 году уже сам просто на свой страх на весь решил попробовать создать свой проект.
651200	679280	Вот, кстати, интересно, что вы скрываете под словом «не очень», я в плане того, что я вот в Сарпеге тоже разговаривала по поводу Чувашского костюма, и мы там долго ушли в рассуждение о том, что когда мы учили в школе, а я, если что, тоже из Чубоксар, но у меня корни прям очень отдаленные, вот, поэтому я с культурой так поверхностно была затрагивана, меня всегда это очень сильно интересовало, но, к сожалению, как-то не интегрировалась я, в общем, в это пространство полноценно.
681200	681280	У меня, получается, про бабушку Чувашка полная, то есть она из, ой, откуда она, не помню из какой она деревни, да, да, и по папиной стороне там, ну там все как бы пропало, ну как бы вся информация ушла, вроде как есть какая-то примесь, но больше там татарская вообще кровь, вот, поэтому, к сожалению, у нас, ну я прям в полноценном
711200	741200	ощущении в моем начальном школе, что у нас есть два-три человека, которые прям, у них есть соединение вот с Чувашскими деревнями и так далее, и мы остальное пространство там 28 человек, которые очень косвенно имеют отношения, и, как бы, мы, когда учили Чувашский, нам было очень тяжело, в силу того, что мы не знали, куда мы его учим, нам не с кем было общаться и так далее, и вот мы говорили с РПГ по поводу того, что тогда вот эти костюмы были, ну, то есть это был год 2010,
741200	771200	которые такие химозные, из синтетики яркие, такие чуть ли не неоновые, и мы, было очень интересно их изучать, но мы понимали, что в них какая-то искусственность, и все равно нас это отторгало, и вот вы тоже говорите про то, что было какое-то, не очень, какой-то вот, культура-то сама интересная, а как будто то, что сейчас, ну, вот тогда с ней происходило, оно как будто не цепляло, как будто оно не туда шло, вот что для вас вот это слово не очень, какие вы советы, возможно, давали,
771200	773200	вот тогда, когда учились в университете получается?
775200	797200	Да, наверное, это не очень, это как раз вот именно то, что вы сами сейчас сказали, вот это какая-то искусственность, но откуда собственно это? Мне кажется, что это какая-то элементарная нехватка культуры, у тех людей, которые являются носителями этой культуры.
797200	827200	Ну, наверное, самый первый пример, который приходит в голову, это же Чувашская страна, да, и все эти так называемые Чуваши страны Шелдерезема, они же, они же выходили во всех вот этих кислотных, вот химозных костюмах, да, вот, ну, а кто это, это какие-то, в основном деревенские, да, там мальчики, юноши, женщины и так далее,
827200	845200	вот, и я помню был период, когда, в принципе, для того, чтобы быть звездой Чувашской страны, ну, достаточно было того, просто чтобы быть на сцену, ты выходишь на сцену, там включают тебе фонограмму, и все, ты автоматически звезда Чувашской страны.
845200	870200	Все. И, собственно, до последнего времени вся эта Чувашская страна, она же существовала, существовала по абсолютно одному лекалу. В сущности, было там, не знаю, два-три, максимум пять, может быть, каких-то людей, которые делали по одному шаблону вот эти вот фонограммы, да, я не помню какой-то был, ну, ну, лет 20, наверное, может быть, назад.
870200	880200	Какие-то ларьки у нас в Чубоксарах еще были, студии звукозаписи, я купил два диска, звездчика Чувашской страны, два mp3 диска, на каждом было по 150 песен.
880200	900200	У меня хватило в машине 15 минут, чтобы прослушать эти 150, 300, да, 300 песен. Ну, то есть ты включаешь там, бежишь по всем этим трекам, да, а там все равно тоже, поэтому я на это что-то очень сильно переживал.
900200	923200	Вот, и мне всегда было немножко обидно за то, что Чуваши, являясь такой благочисленной, в общем-то, нацией, это сам в советское время, вообще, в четвертом месте, по-моему, были русские-украинцы, что там-то, речь у Ваши шла.
923200	946200	И что об этом никто не знает. Вот, я до сих пор с этим сталкиваюсь регулярно, когда я говорю, что я из Чуваши, меня спрашивают, а где я? Или люди говорят, а, ну, конечно, знаю, это же Башкирия.
946200	971200	Ну, то есть люди абсолютно, с одной стороны, люди не интересуются раз, а с другой стороны, люди, которые как бы являются носителями Чувашской культуры, их вроде бы как бы должны транслировать эту культуру, а вне они стараются, наоборот, избегать этого.
971200	983200	Ну, это было до последнего времени, там, я не знаю, до 20-х годов, потому что как-то вот именно с 2019-20 года оно как-то само собой все произошло.
983200	1006200	Очень хочу на этом поговорить в следующем блоке, но я хотела бы еще вот разобрать последние финальные аккорды, так сказать, спросить насчет того, что вы вот говорите про вот этот период, ну, я так, приблизительно, да, мне кажется, это с 70-х до, ну, условно, нулевых, если так брать большой мозг.
1006200	1033200	Не совсем так, наверное, был там период 70-80-80-90-е, отдельный совершенно период 90-е, ну, давайте возьмем 2020-е, да, 30 лет вот этот вот, потому что я с 90-го года, с 15-ти лет я прям стал за этим следить пристально, то есть вот это 30-летие, в течение которого не происходило практически вообще ничего.
1033200	1063200	Вот, в советское время это была какая-то история, там вот этот вот ансамбль, я хочу еще про музыкальную культуру, вот, и, ну, вот этот, вот эта позиция, самих чужож, да, как правило, не светиться, не высовываться, да, там, в лишний раз не упаду, да, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там, там,
1063200	1074540	не понимаю, что я еще говорил. Руслан, старайся мне говорить лишний раз, что ты Чуваш, и то почему, меня это дико удивляло, меня это удивляло.
1074540	1080760	Я почему-то, ну, надо объяснить почему, не понимаю, я Чуваша что, не надо.
1080760	1089000	У меня, кстати, я вас полностью понимаю. У меня бабушка, когда я поступила в Москву, она говорила, ты не говоришь, ты из Чуваш, из Чевоксар.
1089000	1095080	и я бы с этим потом уже ну как бы я то не то что исследовать
1095080	1098960	да я создавал эти вопросы неоднократно разным абсолютно людям
1098960	1104160	разных поколений и в ответ я слышу только но мама потом уже в итоге-то
1104160	1112200	ответила я не хотела чтобы мои дети не смеялись вот в каком смысле смеялись
1112200	1117000	вот она мне рассказала историю когда она там приехала только после института
1117000	1122240	крыма там где-то в магазине она что-то там на кассе произнесла какую-то там
1122240	1128000	фразу это прозвучала чувачком акцентом надо мной семья есть просто вовсе более
1128000	1133800	того я сейчас об этом и говорю потом же я когда начал изучать эту историю есть
1133800	1139880	такая мишка царский генерал мошков собирал песни народцев полужского
1139880	1143720	региона войсках маршавского военного округа в конце девятнадцатого века
1143720	1148360	и там вот слово в слово описывается то есть вот это вот то психологическая
1148360	1152720	травма которая оказывается учу в чужах сидит уже веками
1152720	1157480	он рассказывал что собирал песни там у морейцев
1157480	1163480	мордвы у башки в том числе учу аж с одной стороны он пишет что чуаше самому
1163480	1170040	музыкальная нация такого количества песенка чуаше не спел больше никто вот причем это
1170120	1177880	вот так вот да а с другой стороны будет чувачок настолько стеснялись себя а это
1177880	1183960	связано было с тем что как только чуаше начинали говорить на русском языке русский
1183960	1188760	просто не произвольно начинает просто ухахатываться да настолько это звучало
1188760	1194800	смешно мы сами понимаем о чем мы говорим когда носитель чувачского языка
1195800	1203320	это сговорят на русском языке понятно да и чушь пойдем водим меня подальше там
1203320	1209680	лесочек и так оглядываешь что никто не слышал в пол голоса начинали делать ему
1209680	1216240	эти песни то есть и вот это я считаю что про психологическая травма у целого
1216240	1222480	народа учу вашей и она вот веками вот это уже длится да поэтому то что я
1223080	1230320	сегодня именно то что пошла вот этого у нас 20-х годов и как это произошло не
1230320	1239040	про то что дело под девушке вот ваша да вот поколение рпг та же самая там все
1239040	1245400	три девчонки нет конечно прям настолько радует и я думаю девчонки
1246000	1253560	будущее заварить вообще давайте делайте делайте мне не восхищает просто их
1253560	1262120	смелости не восхищает их цикл стремей умности не восхищает их вот это вот
1262120	1271880	знали день что-либо с какой нету дела просто не значима шляпу относительно
1271920	1283400	я с вами полностью согласна получается я хотела вот за зафиксировать что до ну
1283400	1290200	где-то 90-х конца 80-х 90-х была культура которая сама в себе жила то есть вот
1290200	1294600	винил вы же пластинки с чувашскими перед махарами они же были их выпуска
1294600	1302760	да очень много фирма мелодия я не знаю там порядка 20 или 30 пластинок
1302760	1313200	один в один рваночек ушки как минимум выпустил три пластинки не произволь еще по общаться с
1313200	1322200	ним успел то есть человека для меня вот этого человека который пропагандировал культуру где
1322760	1330040	доктор философских наук закончил институт философ российской академии наук и он
1330040	1335880	сомничал вот эту научную свою карьеру преподавательство учился в москве кстати
1335880	1346720	теперь у самого ленишина вот и он объездил весь мир по имену по научному направлению но всегда
1346720	1355440	у него с собой был чувакский халат вот этот мужской шабарда шубар и из каждой
1355440	1361840	конференции заканчивалось тем что вот так ребята а теперь музыкальная пауза надела на себя халат
1361840	1370880	выходил и просто начинал эти чувашские народные песни это единица это вот прям единица слава богу
1371880	1378280	зафиксировано да есть вот эти вот пластинки более того не только пластинки я же сейчас
1378280	1386480	обращаюсь и на кнопку материала советское время удалось сохранить мой любимый сборник 620 песен
1386480	1395000	говорила федор а вот просто фантастический сборник потом понятных у грегория дратис со
1395000	1399600	своими сборниками песни завод сведения заводчим вашей и рейда в блоге на
1399600	1410240	музею кузьми что я как есть есть слава богу есть вот эти песни именно в нотах
1410240	1416080	мучу ваше чуваксарском музыкальный училищ фатно в отделении у него валерий путупов тоже в этом
1416080	1421800	отношении много чего делать со студентами до сих пор ездить собирать и просто не расшифрованных
1421800	1431760	записей африкса вот вот это конечно культурно наследимый чурс и государственная студия
1431760	1438320	унитазных наук последнее время начал выпускать тоже песни я приобретаю вот эти возбудники
1438320	1444840	они без нот секундочку вы выпускаете вот такие полстенные просто сборники рекордских песен
1444840	1452680	славянных песен а но тут и где потому что все самое главное там в нотах в мелодике вот я не
1452680	1461600	знаю сколько вам это будет интересно буквально там вчера позавчера я услышал очередной раз
1461600	1469280	стульник вартиз номер один чайковского известнейший произведение выслушал сотню раз вот
