start	end	text
240000	245000	А, я с собой не взяла ее. Ладно.
246000	251000	У меня задумка такая, что, вообще, это же изначально должен был быть зоманом быть.
251000	255000	Который должен связан с мифом «Девушка Луне».
255000	256000	Но я хочу пойти дальше.
256000	260000	И вот, как продолжение условной этой темы.
260000	266000	Ну, переставляться я хочу сделать немножко более широкое.
266000	270000	Вот мы с тобой прошлый раз обсуждали про карту именно мифологическую.
270000	272000	У меня идея такая, что...
272000	275000	Ну, то есть, буквально это будет выглядеть в моей голове.
275000	278000	И как это можно будет красиво и эстично интерпретировать.
278000	281000	Это будет с 7 слоев как раз таки буквально.
281000	284000	Либо из ткани будет прозрачность, в которой я тоже у меня работаю.
284000	286000	В принципе, это несложно для меня.
286000	287000	И...
287000	289000	Либо из...
289000	293000	Я уже закупила, на всякий случай, если из ткани уже что-то не будет не так.
293000	295000	Я закупила стекло.
295000	296000	Вот.
296000	299000	На счет того, будет это в зомане или нет.
299000	301000	В принципе, это можно договориться.
301000	304000	Потому что мы с Марией сейчас на связи.
304000	305000	И...
305000	308000	Я думаю, что ей эта идея скорее понравится.
308000	309000	Вот.
309000	310000	Потому что то, как мы...
310000	313000	Я передеплитирую нашу задумку для музей зоман.
313000	314000	Угу.
314000	315000	Вот.
315000	317000	То есть, это будет 7 слоев.
317000	318000	Изначально...
318000	320000	К Чувашскому миру, правильно?
320000	321000	Да, да, да.
321000	323000	Вот того самого, которое я тебе объясняла.
323000	324000	То есть, там...
324000	326000	Один прозрачный слой.
327000	330000	Это будет самый нижний мир, как поводит деплитировать.
330000	331000	Потом...
331000	332000	И там верхний, верхний.
332000	333000	И до того момента, когда...
333000	334000	Тот мир, который мы видим.
334000	335000	Угу.
335000	336000	Вот.
336000	338000	То есть, это такая многослойная, получается...
338000	340000	Ну, не штора, не штора.
340000	341000	Угу.
341000	342000	А...
344000	347000	Вот такая вот многослойная штора получается.
347000	350000	Из которой только с одного рапуса будет все видно.
350000	351000	Угу.
351000	353000	Можно будет ее листать.
353000	354000	Вот такая вот.
354000	355000	И чего она будет?
356000	357000	То есть, я поняла, что там много...
357000	358000	7 слоев будет.
358000	359000	7 слоев в ткани?
359000	361000	Но они на некотором состоянии друг от друга.
361000	362000	Угу.
362000	364000	То есть, это такой, как бы, висящий...
364000	366000	Куб, наверное, можно сказать.
366000	368000	Угу.
368000	371000	То есть, я не могу это визуализировать, честно говоря.
371000	373000	Я уже не знаю.
373000	374000	Угу.
374000	375000	А как она...
375000	377000	Получается, ты отошла от темы луны?
378000	379000	Не все.
379000	380000	Там она есть.
380000	383000	А это получается, ты в куб хочешь...
383000	386000	Ну, луна там, короче говоря, там же из...
386000	388000	Почему, можно сказать, что я отошла?
388000	390000	Это внутри будет луна?
390000	391000	Конечно.
391000	394000	Луна там, как бы, высокальное место имеет.
394000	397000	И можно через, в принципе, эту девушку, ну, не объяснить,
397000	399000	как это все видится.
399000	400000	Вот как-то так.
400000	401000	Угу.
401000	402000	И есть второй вариант.
402000	405000	Он чуть более сложный для исполнения.
405000	407000	Но на материал у меня, на всякий случай,
407000	408000	на такой...
408000	409000	На запасной вариант у меня есть.
410000	414000	Это на прексиклассе, сделанная из...
414000	416000	Ну, как организа...
416000	418000	Оркстекла.
418000	420000	Вот тоже несколько слоев.
420000	422000	Я так уже работала.
422000	425000	Это можно сделать либо из оргстекла,
425000	427000	либо я натягивала на раму,
427000	429000	как на обычную, на холсток, натягивала.
429000	435000	Я натягивала прозрачную скатерть.
435000	436000	Понимаешь?
436000	437000	Такая плотная несколько слоев,
437000	440000	что получается многослойное изображение.
440000	443000	А у тебя есть какие-то, кстати, референсы?
443000	445000	Ты когда будешь собирать смутборд,
445000	447000	чтобы я оператору прислала,
447000	448000	как это будет выглядеть примерно,
448000	450000	чтобы он понял.
450000	451000	Она поняла.
451000	453000	У нас теперь бабья команда, если что.
453000	455000	Но я в айболочи.
455000	458000	Сейчас мне сложно сказать,
458000	460000	потому что у меня иногда, типа,
460000	462000	полностью могу менять задумку.
462000	464000	То есть она в процессе.
464000	466000	В процессе может себя поменяться.
466000	467000	Я тебя поняла.
467000	469000	Окей.
469000	470000	Ну, насчет тогда,
470000	471000	кто же к тебе легко будет пыть,
471000	473000	это замечательно, отлично.
473000	475000	К поводу...
475000	476000	Хотела спросить еще.
476000	481000	Мы сейчас с аниматором начали разрабатывать...
481000	482000	Я же, помнишь,
482000	485000	говорила о мультимедийной вставке.
485000	486000	Вот.
486000	488000	И я скинула, когда аниматору всех героев,
488000	490000	ей очень понравились твои рисунки,
490000	491000	у меня вопрос.
491000	492000	Вот у нас есть...
492000	494000	Вот этот рисунок, ты помнишь, легенду,
494000	495000	мы с собой говорили.
495000	496000	Вот.
496000	497000	А я в итоге, кстати,
497000	499000	сделала, доделала сумки.
499000	500000	О, кстати.
500000	501000	Умокатку.
501000	503000	Сейчас я...
503000	506000	Я уже отправила
506000	508000	своих сотрудниц на пощадь.
508000	509000	Окончательные.
509000	510000	То есть там подкладываю,
510000	512000	и тогда вы сможете найти.
524000	529000	Вот так она уже.
529000	532000	Да, да...
532000	533000	Прикольно.
533000	537000	Я хотела спросить насчет того,
537000	538000	что мы хотим...
538000	540000	Хотели бы взять твою стилистику
540000	543000	для части перед тобой.
543000	544000	Это как раз часть,
544000	546000	когда все солнце умирают,
546000	547000	и, ну, не умирают, убегают.
547000	549000	Одно умирает, другое убегает,
549000	551000	третье заранее сбежало,
551000	552000	и вот полный мрак.
552000	553000	Их тонь,
553000	554000	и про то, что люди
554000	557000	начинают молиться Богу потихоньку,
557000	558000	сожалеть о том,
558000	559000	что они сделали.
559000	561000	Я инвертировала как раз таки,
561000	562000	как у тебя, кстати,
562000	563000	на фотографии инвертировала.
563000	564000	Ты эскиз,
564000	566000	который ты кидала в свою группу,
566000	568000	у тебя там они на черные,
568000	569000	на белом фоне.
569000	570000	А я инвертировала,
570000	571000	получилось на...
571000	572000	Вот я хотела показать.
572000	575000	На черном фоне белые рисунки.
575000	576000	Вот.
576000	577000	Если бы ты могла нам
577000	579000	накидать персонажей,
579000	580000	мы бы их заанимировали
580000	582000	и вставили перед твоим блоком.
582000	583000	Хорошо.
583000	585000	Мы тебе пришлем тогда...
585000	588000	Я тебе пришлю какую-то эстетическую...
588000	589000	Ну, то есть,
589000	590000	чего там нужно мне
590000	592000	по логике по рисованию.
592000	594000	И аниматор пришлет тебе
594000	595000	какие эскизы чего нужно.
595000	596000	Там толпы,
596000	598000	прячущийся солнце.
598000	599000	Возможно, мы даже успеем
599000	604000	сделать до этого момента
604000	605000	какую-то раскатровку,
605000	606000	чтобы ты тоже понимала,
606000	608000	какое действие будет у тебя.
608000	609000	Слушай, можно как-то прям
609000	611000	совсем метафорично это сделать?
611000	612000	Вот я подумала,
612000	614000	если там они начинают молиться.
614000	616000	Я тебе рассказывала про связь кель,
616000	617000	моления.
617000	618000	Это одно и то же слово.
618000	619000	Вот.
619000	620000	Типа изобразение.
620000	621000	Ну, у меня, типа...
621000	623000	У меня, в принципе,
623000	624000	то платье,
624000	625000	из которого у меня,
625000	627000	по идее, должен быть проект,
627000	629000	оно бы там связано с пеплом.
629000	631000	То есть, оно типа пепельного цвета,
631000	632000	там оно такое грязное,
632000	634000	как будто испачканное специально.
634000	637000	В общем, если ты не против,
637000	638000	мы бы с удовольствием
638000	639000	заанимировали твою часть
639000	640000	именно с твоими рисунками.
640000	641000	Мне кажется,
641000	642000	будет очень вайбово.
642000	644000	Еще у тебя такое интересное
644000	646000	вот это вот метапространство
646000	647000	в твоей стилистике.
647000	648000	Мне кажется,
648000	650000	оно как раз подходит под эту часть.
650000	652000	Я хочу ее перед тобой как раз поставить.
653000	654000	Вот.
654000	655000	Так.
655000	658000	Еще из организационных вопросов.
660000	661000	Дай я посмотрю.
661000	663000	Я вообще-то тебе записала.
671000	672000	А.
672000	674000	И хотел еще спросить насчет того,
674000	676000	чтобы зафиналить твою часть.
677000	680000	Мы хотели бы где-нибудь договориться,
681000	682000	чтобы снять,
682000	685000	как будто чтобы не ездить в Уфейжерус
686000	687000	мастерский музей.
687000	688000	Вот.
688000	689000	Чтобы не ездить,
689000	691000	снять, договориться с каким-нибудь музеем,
691000	693000	чтобы, короче, просто людей.
693000	694000	Да.
694000	695000	Чисто фактически.
695000	697000	У тебя, если что, есть контакты?
697000	698000	Абсолютно.
698000	699000	Можешь скинуть?
699000	700000	Я тебя попрошу.
703000	705000	Музей, драмтеатр.
705000	706000	Сейчас.
706000	707000	У меня прям с собой на телефон нет.
707000	708000	У меня есть вопрос,
708000	709000	как будет в телеге.
709000	710000	Ой, скинь короче.
710000	711000	Давай, знаешь,
711000	712000	как я тебе продублирую сообщение.
712000	713000	Ага.
713000	714000	У тебя будет время.
714000	715000	Да, конечно.
715000	716000	А то ты иногда такая, знаешь,
716000	717000	типа как творческая личность.
717000	718000	Нет, я не творческая личность.
718000	719000	Я просто сообщение проплачу.
719000	721000	Я тебе постараюсь прямо сразу отвечать.
721000	722000	Нет, просто я тебя
722000	723000	два раза спросила
723000	724000	по поводу произведения.
724000	725000	Типа, могла ли ты набросать.
725000	726000	А.
726000	727000	И ты меня,
727000	728000	как бы ответила
728000	729000	на совершенно другие вопросы
729000	730000	в этом же сообщении.
730000	731000	Я пытаюсь.
731000	732000	Я, да.
732000	733000	Я как бы,
733000	734000	мне это не горело.
734000	735000	Но бросать,
735000	736000	у меня типа вообще
736000	737000	тупо проще.
737000	738000	Нет такого.
738000	739000	Можешь тогда,
739000	740000	вот по поводу
740000	741000	референсов.
741000	742000	Получается,
742000	743000	что тебе нужно
743000	744000	для вот этого произведения,
744000	745000	которое ты будешь делать?
745000	746000	Тебе нужна бумага
746000	747000	либо ООРГ.
747000	748000	Вот это вот.
748000	749000	У меня все есть.
749000	750000	Мне вообще ничего не надо.
750000	751000	А, ты уже все скупила?
751000	752000	Я все закупила.
752000	753000	То есть, ты уже
753000	754000	все закупила.
754000	755000	Я все закупила.
755000	756000	Я все закупила.
756000	757000	То есть, ты не будешь
757000	758000	печатать карту,
758000	759000	как ты прошел.
759000	760000	Не-не-не.
760000	761000	Ты будешь луну,
761000	762000	ты будешь рисовать ее
762000	763000	на холсте.
763000	764000	Можешь мне
764000	765000	процесс немножко
765000	766000	более конструктивно
766000	767000	объяснить,
767000	768000	чтобы я представляла,
768000	769000	потому что я сейчас
769000	770000	что-то невесомое 3D
770000	771000	представляю.
771000	772000	Да-да.
772000	773000	Да-да.
773000	774000	Но иметь в виду,
774000	775000	у тебя же будет
775000	776000	подпорка холста,
776000	777000	или это будет вообще 3D,
777000	778000	что это будет висеть где-то?
778000	779000	Висеть собирается.
779000	780000	А она,
780000	781000	вот ты говоришь
781000	782000	на природе,
782000	783000	а как,
783000	784000	куда,
784000	785000	на дерево,
785000	786000	где-то висеть,
786000	787000	чтобы холст у тебя висел.
787000	788000	Короче,
788000	789000	чтобы найти тебе
789000	790000	мастерскую,
790000	791000	в которой тебя
791000	792000	можно снять,
792000	793000	как ты делаешь
793000	794000	этот...
794000	795000	Ну, если я развод
795000	796000	буду использовать
796000	797000	мастерскую,
797000	798000	там мастерскую
798000	799000	разрешат.
799000	800000	Если я развод
800000	801000	буду использовать,
801000	802000	это у нее
802000	803000	мастерскую разрешат
803000	804000	сделать.
804000	805000	Да, на этапе.
805000	806000	Ну, ты за что
806000	807000	прицепишь?
807000	808000	Получается,
808000	809000	у тебя будет...
809000	810000	Как у тебя
810000	811000	будет выглядеть этот холст?
811000	812000	Давайте
812000	813000	за вешалки прицепим.
813000	814000	На вешалки?
814000	815000	Да.
815000	816000	А он
816000	817000	какого масштаба
817000	818000	выглядит?
818000	819000	Ты представляешь
819000	820000	себе?
820000	821000	Сантиметров
821000	822000	100 на 100
822000	823000	нет?
823000	824000	Я
824000	825000	выслепилась
825000	826000	того, что...
826000	827000	Я просто...
827000	828000	10 сантиметров
828000	829000	это я вот столько
829000	830000	вижу.
830000	831000	От тебя
831000	832000	тут 17.
832000	833000	Вот,
833000	834000	я...
834000	835000	Ну, чтобы ты понимала,
835000	836000	что я не понимаю
836000	837000	в метрах.
837000	838000	Ну, метр
838000	839000	это...
839000	840000	Вот столько.
840000	841000	Это чуть меньше,
841000	842000	чем вот это.
842000	843000	Вот, да?
843000	844000	Это
844000	845000	будет квадрат.
845000	846000	То есть,
846000	847000	как
847000	848000	ты...
848000	849000	На что
849000	850000	их нацепишь?
850000	851000	Смотри,
851000	852000	есть...
852000	853000	По сути,
853000	854000	это будет
854000	855000	несколько балок.
855000	856000	Несколько
856000	857000	балок
857000	858000	совмещенных просто.
858000	859000	Угу.
859000	860000	Деревян.
860000	861000	А тут нельзя
861000	862000	попросить просто?
862000	863000	На кашу, что ли?
863000	864000	Да, я просто...
864000	865000	У меня
865000	866000	есть...
866000	867000	Давайте
867000	868000	накидаем...
868000	869000	Накидаем сейчас.
869000	870000	Так, ну,
870000	871000	давай я накидаю здесь.
871000	872000	Не,
872000	873000	давай я
873000	874000	поручки взять.
874000	875000	Я, в смысле, не...
875000	876000	Слушай,
876000	877000	можно, наверное,
877000	878000	попросить официанта?
878000	879000	Вот, смотри,
879000	880000	вот, например,
880000	881000	вот этот холст.
881000	882000	Холст
882000	883000	ни к чему не
883000	884000	прицеплен.
884000	885000	Холст просто
885000	886000	как встанет.
886000	887000	Угу.
887000	888000	На нём
888000	889000	изображение.
889000	890000	Угу.
890000	891000	Первый
891000	892000	условий.
892000	893000	Он графичный,
893000	894000	он может быть
894000	895000	тёмным.
895000	896000	Вот это вот вся история.
896000	897000	Угу.
897000	898000	Может быть
898000	899000	перевёрнутым.
899000	900000	Он прицеплен.
900000	901000	Вот так вот.
901000	902000	Прицеплены
902000	903000	к балке.
903000	904000	Дублировать,
904000	905000	дублировать,
905000	906000	дублировать.
906000	907000	Ну,
907000	908000	семь раз.
908000	909000	Так.
909000	910000	И потом
910000	911000	эти балки
911000	912000	просто соединены.
912000	913000	То есть,
913000	914000	ты будешь
914000	915000	по одному слову
915000	916000	сделать,
916000	917000	а потом
917000	918000	ты их все
918000	919000	соединишь.
919000	920000	Да.
920000	921000	В финале.
921000	922000	Да.
922000	923000	А на чём
923000	924000	ты их
924000	925000	соединишь?
925000	926000	Балкой тоже?
926000	927000	Ну, да.
927000	928000	Вот она,
928000	929000	балочку такая вот.
929000	930000	Ага.
930000	931000	А ты легко
931000	932000	в цепи,
932000	933000	что там,
933000	934000	степлером
934000	935000	прошёл сюда.
935000	936000	Я просто
936000	937000	хотела,
937000	938000	чтобы
938000	939000	в финале
939000	940000	смогли
940000	941000	собрать работу
941000	942000	на природе,
942000	943000	если мы
943000	944000	на природе
944000	945000	будем делать.
945000	946000	Чтобы…
946000	947000	Ну, я могу,
947000	948000	например,
948000	949000	изначально…
949000	950000	Мы же не
950000	951000	с самого начала,
951000	952000	наверное, будем снимать.
952000	953000	Или прямо
953000	954000	с самого-самого начала.
954000	955000	Ну, вот это
955000	956000	хороший вопрос,
956000	957000	потому что
957000	958000	вообще,
958000	959000	у тебя же
959000	960000	ощущение,
960000	961000	что ты,
961000	962000	типа,
962000	963000	как будто
963000	964000	даже
964000	965000	с самого начала
965000	966000	делаешь,
966000	967000	а потом эти
967000	968000	слои появляются,
968000	969000	которые ты уже
969000	970000	сделал.
970000	971000	Давай так,
971000	972000	попробуем.
972000	973000	Хорошо?
973000	974000	Ну, держи
974000	975000	мне, пожалуйста,
975000	976000	если у тебя
976000	977000	изменится всё,
977000	978000	ты держи
978000	979000	меня в курсе,
979000	980000	чтобы мы
980000	981000	сразу
981000	982000	смогли
982000	983000	что-нибудь придумать.
983000	984000	У меня
984000	985000	была история
985000	986000	изначально
986000	987000	сделать
987000	988000	стекло.
988000	989000	Это
989000	990000	гравер,
990000	991000	типа,
991000	992000	штуку
992000	993000	для
993000	994000	гробки.
994000	995000	То есть,
995000	996000	того,
996000	997000	что
997000	998000	на
998000	999000	обычном
999000	1000000	стекле
1000000	1001000	оно
1001000	1002000	тяжёлое,
1002000	1003000	а ворок
1003000	1004000	стекло
1004000	1005000	понятного,
1005000	1006000	что
1006000	1007000	тяжёлое,
1007000	1008000	оно…
1008000	1009000	Да,
1009000	1010000	оно не
1010000	1011000	бьётся,
1011000	1012000	это плюс.
1012000	1013000	Но оно
1013000	1014000	искажает свет так,
1014000	1015000	что
1015000	1016000	изображение,
1016000	1017000	кажется,
1017000	1018000	это
1018000	1019000	очень
1019000	1020000	милая
1020000	1021000	квартира.
1021000	1022000	Я
1022000	1023000	с ней
1023000	1024000	буду
1024000	1025000	как раз встречаться
1025000	1026000	с шестого.
1026000	1027000	Я
1027000	1028000	хотела бы
1028000	1029000	из того,
1029000	1030000	что
1030000	1031000	вот у нас
1031000	1032000	как раз
1032000	1033000	оператора
1033000	1034000	поменялась
1034000	1035000	и очень классная
1035000	1036000	дельная
1036000	1037000	девочка.
1037000	1038000	Она
1038000	1039000	предлагает,
1039000	1040000	чтобы мастерские
1040000	1041000	не выглядели
1041000	1042000	как 4
1042000	1043000	стены,
1043000	1044000	она
1044000	1045000	как раз
1045000	1046000	предлагает
1046000	1047000	нас
1047000	1048000	девочка
1048000	1049000	предложила
1049000	1050000	сделать
1050000	1051000	как
1051000	1052000	вирсальской
1052000	1053000	истории.
1053000	1054000	Господи,
1054000	1055000	а можно мне
1055000	1056000	мира
1056000	1057000	открыть,
1057000	1058000	пожалуйста,
1058000	1059000	уже?
1059000	1060000	Повесить
1060000	1061000	туда
1061000	1062000	ткани,
1062000	1063000	чтобы
1063000	1064000	увеличить
1064000	1065000	пространство.
1065000	1066000	Я
1066000	1067000	хотела
1067000	1068000	тебе сейчас
1068000	1069000	показать
1069000	1070000	эти
1070000	1071000	примеры.
1071000	1072000	И
1072000	1073000	на
1073000	1074000	стекло,
1074000	1075000	точнее,
1075000	1076000	поменять.
1076000	1077000	Потому что
1077000	1078000	из того,
1078000	1079000	что у них
1079000	1080000	очень
1080000	1081000	маленькая
1081000	1082000	квартирка,
1082000	1083000	чтобы
1083000	1084000	как раз
1084000	1085000	играться
1085000	1086000	с вот этим
1086000	1087000	вот маленьким
1087000	1088000	пространством,
1088000	1089000	вот так
1089000	1090000	его
1090000	1091000	деформировать.
1091000	1092000	Если
1092000	1093000	тебе было бы
1093000	1094000	интересно,
1094000	1095000	у тебя
1095000	1096000	будет время,
1096000	1097000	может,
1097000	1098000	ты хотела бы
1098000	1099000	нам
1099000	1100000	как заход
1100000	1101000	постить,
1101000	1102000	но я
1102000	1103000	не уверена,
1103000	1104000	что у тебя
1104000	1105000	будет
1105000	1106000	время.
1106000	1107000	Если
1107000	1108000	тебе
1108000	1109000	интересно,
1109000	1110000	просто
1110000	1111000	ты так
1111000	1112000	очень
1112000	1113000	круто
1113000	1114000	рассказываешь
1114000	1115000	про
1115000	1116000	пластиков
1116000	1117000	всего,
1117000	1118000	я
1118000	1119000	буду сейчас…
1119000	1120000	Я
1120000	1121000	не
1121000	1122000	такой
1122000	1123000	прям
1123000	1124000	специалист в
1124000	1125000	этом,
1125000	1126000	потому
1126000	1127000	что
1127000	1128000	это
1128000	1129000	нужно
1129000	1130000	на
1130000	1131000	камере
1131000	1132000	смотреть.
1132000	1133000	Я
1133000	1134000	не
1134000	1135000	могу
1135000	1136000	сходить.
1136000	1137000	Пойдем
1137000	1138000	домой?
1138000	1139000	Да,
1139000	1140000	давай.
1140000	1141000	Пойдем
1141000	1142000	сразу
1142000	1143000	выберем,
1143000	1144000	посмотрим,
1144000	1145000	какие
1145000	1146000	что есть.
1146000	1147000	Пошли,
1147000	1148000	посмотрим,
1148000	1149000	но я
1149000	1150000	просто
1150000	1151000	сама
1151000	1152000	пока
1152000	1153000	с
1153000	1154000	Людмил
1154000	1155000	еще
1155000	1156000	не
1156000	1157000	договорилась,
1157000	1158000	а то
1158000	1159000	я
1159000	1160000	придумала,
1160000	1161000	что…
1161000	1162000	Ну,
1162000	1163000	как
1163000	1164000	вы
1164000	1165000	выяснили,
1165000	1166000	как
1166000	1167000	вот
1167000	1168000	вот
1168000	1169000	просто
1169000	1170000	это
1170000	1171000	просказать.
1171000	1172000	Я
1172000	1173000	вот
1173000	1174000	скорее
1174000	1175000	боюсь
1175000	1176000	какая-то
1176000	1177000	Людмила
1177000	1178000	к этому
1178000	1179000	аттрактуру.
1179000	1180000	Может,
1180000	1181000	она
1181000	1182000	за нас
1182000	1183000	может?
1183000	1184000	Это
1184000	1185000	ну,
1185000	1186000	как бы…
1186000	1187000	Ну,
1187000	1188000	Эрпий,
1188000	1189000	конечно,
1189000	1190000	больше
1190000	1191000	понимает.
1191000	1199000	Я не только в этом не разбираюсь, я в принципе даже вот по финальной картинке, я честно скажу, я очень плоха в художке.
1199000	1206000	То есть я могу, я только недавно начала говорить, что мне конкретно что-то в картинке не нравится, а не просто не нравится.
1206000	1209000	Вот, поэтому мне очень тяжело в этом пространстве.
1209000	1215000	Я поэтому сильно, ну я в донке, я очень сложно с этим столкнуться, скажем так.
1215000	1217000	Ну вот я сталкиваюсь, как ты видишь.
1218000	1222000	Вот, сейчас я тогда постараюсь побыстрее доесть, дай мне 10 минут.
1222000	1226000	Ну если ты с коке работаешь, у нас еще полчаса.
1228000	1231000	Вот насчет мутборда, который мы собираем потихоньку.
1236000	1241000	Тут у нас референсы водка и пива, так же экстренная графика.
1242000	1244000	Вот здесь как вышивка?
1244000	1246000	Это Ола, да?
1246000	1248000	А, и это Урпеге.
1248000	1252000	Это перед Урпеге мы хотим сделать что-то напоминающее вышивку.
1252000	1258000	А вот эта девочка нарисовала нам эти эскизы.
1260000	1265000	Вот эту мы хотим как раз сделать по стилистике лубка.
1265000	1270000	Мы хотим ее бездизменить, чтобы она была более горизонтальной.
1271000	1274000	Вот, потом Дива будет.
1274000	1276000	Это Шумерская, блядь.
1276000	1279000	Да, я просто сюда поставила, чтобы вот эта вот...
1279000	1283000	У тебя она одна из последних просто в группе, которая...
1283000	1285000	А, да, да.
1285000	1288000	Которая в канале конкретно, лично.
1288000	1294000	Вот, и после этого ты и мы уже дальше рассмотрим несколько вариантов.
1294000	1296000	И соединение.
1296000	1298000	Где-то тут.
1298000	1304000	Мы тут пока, видишь, накидываем воевовое тусо.
1304000	1306000	Можно?
1309000	1314000	Это они из цвета граната выбрали несколько этих.
1314000	1317000	Когда это по квартиру сбросило, мы хотели ее задекорировать.
1317000	1319000	Можно, пожалуйста.
1319000	1322000	Проблема в том, что там очень мало пространства.
1322000	1323000	Ну да.
1323000	1325000	Вот, мы из-за этого очень сильно беспокоимся, что мы там...
1325000	1327000	Ну, мы хотели зеркалку наставить.
1327000	1329000	А сейчас хотим новую квартиру брать.
1331000	1332000	Что хотите?
1332000	1334000	Мы хотим новую квартиру брать.
1335000	1340000	Вот, как бы, с огромным количеством заказов еще кое-какой бонус идет.
1341000	1343000	Это круто.
1343000	1350000	Я здесь хотела предложить от руки подписать всякие эти...
1350000	1352000	Вот, сейчас мы как раз про...
1352000	1354000	Пока мы...
1354000	1358000	Главная тема нашего разговора, которую я хотела запомнить.
1358000	1360000	Это по поводу интервью.
1360000	1363000	О чем я хотела с тобой поговорить.
1363000	1365000	Я хотела, чтобы ты про себя просто рассказал.
1365000	1367000	Что я какую-то часть информации.
1367000	1369000	Как раз-таки там интервью.
1369000	1371000	Вот ты говорила по поводу того, что...
1373000	1376000	Как ты начала заниматься именно Чувашским Эднасом.
1376000	1378000	И по поводу того, что...
1379000	1381000	Ты же родилась в Новочебоксарске.
1381000	1382000	Нет, в Канаше.
1382000	1383000	В Канаше?
1384000	1388000	Можешь же сказать поподробнее про свою связь с Чувашей?
1388000	1390000	Потому что, как я поняла, ты...
1390000	1393000	Ты разговариваешь, да, на Чувашском, но не мною.
1393000	1394000	Ну, я не знаю.
1394000	1398000	Ну, я не могла с ними долгое время на Чувашском разговаривать.
1398000	1399000	Сейчас могу.
1399000	1402000	Расскажи, пожалуйста, вообще, как у тебя...
1402000	1406000	Насколько плотна у тебя связь с Чувашкой информацией?
1406000	1407000	Ну, я не знаю.
1407000	1408000	Ну, я не знаю.
1408000	1409000	Ну, я не знаю.
1409000	1410000	Ну, я не знаю.
1410000	1411000	Ну, я не знаю.
1411000	1412000	Ну, я не знаю.
1412000	1413000	Ну, я не знаю.
1413000	1414000	Ну, я не знаю.
1414000	1415000	Ну, я не знаю.
1415000	1416000	Ну, я не знаю.
